,title,video_id,channel_name,views,duration,url
0,Python Tutorial - Python Full Course for Beginners,_uQrJ0TkZlc,Programming with Mosh,37M views,6:14:07,https://www.youtube.com/watch?v=_uQrJ0TkZlc
1,Python for Beginners - Learn Python in 1 Hour,kqtD5dpn9C8,Programming with Mosh,15M views,1:00:06,https://www.youtube.com/watch?v=kqtD5dpn9C8
2,Learn Python - Full Course for Beginners [Tutorial],rfscVS0vtbw,freeCodeCamp.org,43M views,4:26:52,https://www.youtube.com/watch?v=rfscVS0vtbw
3,Python Full Course for free 🐍,XKHEtdqhLK8,Bro Code,15M views,12:00:00,https://www.youtube.com/watch?v=XKHEtdqhLK8
4,Harvard CS50’s Introduction to Programming with Python – Full University Course,nLRL_NcnK-4,freeCodeCamp.org,3.5M views,15:57:48,https://www.youtube.com/watch?v=nLRL_NcnK-4
5,Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],t8pPdKYpowI,TechWorld with Nana,5.3M views,5:31:30,https://www.youtube.com/watch?v=t8pPdKYpowI
6,Intermediate Python Programming Course,HGOBQPFzWKo,freeCodeCamp.org,3.4M views,5:55:47,https://www.youtube.com/watch?v=HGOBQPFzWKo
7,Python Functions | Python Tutorial for Absolute Beginners #1,u-OmVr_fT4s,Programming with Mosh,839K views,30:34,https://www.youtube.com/watch?v=u-OmVr_fT4s
8,Python Tutorial #9 Tuple in Python,FLFUyG1SRsk,decode,1 view,6:47,https://www.youtube.com/watch?v=FLFUyG1SRsk
9,Python for Beginners – Full Course [Programming Tutorial],eWRfhZUzrAc,freeCodeCamp.org,2M views,4:40:00,https://www.youtube.com/watch?v=eWRfhZUzrAc
10,The complete guide to Python,mDKM-JtUhhc,Clear Code,374K views,11:08:59,https://www.youtube.com/watch?v=mDKM-JtUhhc
11,Python Tutorial for Beginners (Full Course) at @shradhaKD  | Republic Day Gift,KrBnRcpWGEI,Apna College,146K views,1:20,https://www.youtube.com/watch?v=KrBnRcpWGEI
12,#2 Python Tutorial for Beginners | Python Installation | PyCharm,CScxy0294SE,Telusko,169K views,9:33,https://www.youtube.com/watch?v=CScxy0294SE
13,Python Tutorial for Beginners in Hindi | Applications of Python | History of Python,JltOyfB7KLM,Code-yug,60 views,5:07,https://www.youtube.com/watch?v=JltOyfB7KLM
14,Python Tutorial for Beginners in Hindi | What is Python | Introduction to Python,3ns6GPhv3Do,Code-yug,69 views,11:07,https://www.youtube.com/watch?v=3ns6GPhv3Do
15,Python's Map Function Explained with Examples | Python Tutorial |  GeeksforGeeks,L66_EOxzLKI,GeeksforGeeks,840 views,2:32,https://www.youtube.com/watch?v=L66_EOxzLKI
16,Basic Programming Concepts | Python Tutorial for Beginners in Hindi,l_raCbHgMZQ,Code-yug,144 views,11:47,https://www.youtube.com/watch?v=l_raCbHgMZQ
17,Code Your Own AMAZON SELLER APP | Step By Step Python Tutorial SP API | Part 2,gT512VyL2-c,All Things Amazon,121 views,11:11,https://www.youtube.com/watch?v=gT512VyL2-c
18,👩‍💻 Python for Beginners Tutorial,b093aqAZiPU,Kevin Stratvert,2.6M views,1:03:21,https://www.youtube.com/watch?v=b093aqAZiPU
19,Python Full Course for Beginners | Complete All-in-One Tutorial | 9 Hours,H2EJuAcrZYU,Dave Gray,272K views,8:38:56,https://www.youtube.com/watch?v=H2EJuAcrZYU
20,Python Tutorial for Beginners - Full Course in 12 Hours (2022),B9nFMZIYQl0,Clever Programmer,424K views,11:34:49,https://www.youtube.com/watch?v=B9nFMZIYQl0
21,"Python Tutorial for Beginners 4: Lists, Tuples, and Sets",W8KRzm-HUcc,Corey Schafer,1.3M views,29:05,https://www.youtube.com/watch?v=W8KRzm-HUcc
22,Python As Fast as Possible - Learn Python in ~75 Minutes,VchuKL44s6E,Tech With Tim,1.6M views,1:19:41,https://www.youtube.com/watch?v=VchuKL44s6E
23,Python 101: Learn the 5 Must-Know Concepts,mMv6OSuitWw,Tech With Tim,890K views,20:00,https://www.youtube.com/watch?v=mMv6OSuitWw
24,Python Tutorial for Absolute Beginners #1 - What Are Variables?,Z1Yd7upQsXY,CS Dojo,8.8M views,24:38,https://www.youtube.com/watch?v=Z1Yd7upQsXY
25,Python Full Course - 12 Hours | Python For Beginners - Full Course | Python Tutorial | Edureka,WGJJIrtnfpk,edureka!,6.4M views,11:56:22,https://www.youtube.com/watch?v=WGJJIrtnfpk
26,you need to learn Python RIGHT NOW!! // EP 1,mRMmlo_Uqcs,NetworkChuck,2.1M views,17:42,https://www.youtube.com/watch?v=mRMmlo_Uqcs
27,Python for Beginners - Learn Python in 1 Hour,kqtD5dpn9C8,Programming with Mosh,15M views,1:00:06,https://www.youtube.com/watch?v=kqtD5dpn9C8
28,Learn Python - Full Course for Beginners [Tutorial],rfscVS0vtbw,freeCodeCamp.org,43M views,4:26:52,https://www.youtube.com/watch?v=rfscVS0vtbw
29,Python Tutorial - Python Full Course for Beginners,_uQrJ0TkZlc,Programming with Mosh,37M views,6:14:07,https://www.youtube.com/watch?v=_uQrJ0TkZlc
30,Harvard CS50’s Introduction to Programming with Python – Full University Course,nLRL_NcnK-4,freeCodeCamp.org,3.5M views,15:57:48,https://www.youtube.com/watch?v=nLRL_NcnK-4
31,Python 101: Learn the 5 Must-Know Concepts,mMv6OSuitWw,Tech With Tim,890K views,20:00,https://www.youtube.com/watch?v=mMv6OSuitWw
32,Python Full Course for free 🐍,XKHEtdqhLK8,Bro Code,15M views,12:00:00,https://www.youtube.com/watch?v=XKHEtdqhLK8
33,👩‍💻 Python for Beginners Tutorial,b093aqAZiPU,Kevin Stratvert,2.6M views,1:03:21,https://www.youtube.com/watch?v=b093aqAZiPU
34,you need to learn Python RIGHT NOW!! // EP 1,mRMmlo_Uqcs,NetworkChuck,2.1M views,17:42,https://www.youtube.com/watch?v=mRMmlo_Uqcs
35,what is python in Tamil | python programming language | dynamically typed #python #tamil,3c8HylrrTiE,pycodedigi,6 views,6:22,https://www.youtube.com/watch?v=3c8HylrrTiE
36,Intermediate Python Programming Course,HGOBQPFzWKo,freeCodeCamp.org,3.4M views,5:55:47,https://www.youtube.com/watch?v=HGOBQPFzWKo
37,Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],t8pPdKYpowI,TechWorld with Nana,5.3M views,5:31:30,https://www.youtube.com/watch?v=t8pPdKYpowI
38,I've Read Over 100 Books on Python. Here are the Top 3,MqywbqLmjp4,Python Programmer,132K views,9:26,https://www.youtube.com/watch?v=MqywbqLmjp4
39,When JAVA meets PYTHON [ Programming languages on Valentine’s Date] Coding Ninjas,xmpIbHThyC4,Coding Ninjas,73K views,5:38,https://www.youtube.com/watch?v=xmpIbHThyC4
40,5 Ways To Do THIS? #python #code #coding,OMqbrOsUbnA,Indently,14K views,1:00,https://www.youtube.com/watch?v=OMqbrOsUbnA
41,To Check Given Number is Prime Number Or Not in Python Programming || Python Programming,6YjBtlAznSM,Bhavani tutorials and all job notifications,64 views,4:22,https://www.youtube.com/watch?v=6YjBtlAznSM
42,"To Check Given Number is Positive (+) , Negative (-), Or Zero in Python programming",CvWn23dYHiA,Bhavani tutorials and all job notifications,28 views,2:30,https://www.youtube.com/watch?v=CvWn23dYHiA
43,Quadratic Equation Solution in Python Programming || Python Programming,weRIn1xVCjA,Bhavani tutorials and all job notifications,16 views,5:06,https://www.youtube.com/watch?v=weRIn1xVCjA
44,Python Programming Language - Class 02 Introduction | Full Course | Learn Python - Basic to Advance,ST_h40n9FL0,KB Tech India,92 views,6:01,https://www.youtube.com/watch?v=ST_h40n9FL0
45,Python in 100 Seconds,x7X9w_GIm1s,Fireship,2.3M views,2:24,https://www.youtube.com/watch?v=x7X9w_GIm1s
46,Why Is Python Not Pythoning?? #python #coding #programming,mXSo8prV6H0,b001,1.4M views,0:52,https://www.youtube.com/watch?v=mXSo8prV6H0
47,Python for Beginners – Full Course [Programming Tutorial],eWRfhZUzrAc,freeCodeCamp.org,2M views,4:40:00,https://www.youtube.com/watch?v=eWRfhZUzrAc
48,Amazing Flower Design using Python turtle 🐢 #python #coding #funny #viral #trending #design,W-8j4MrsX2s,DEV19,130K views,0:14,https://www.youtube.com/watch?v=W-8j4MrsX2s
49,How to create graphics using Python turtle 🐍🐢 #coding,eaMDDseIL7E,Fun with Python,641K views,0:14,https://www.youtube.com/watch?v=eaMDDseIL7E
50,Python Object Oriented Programming (OOP) - For Beginners,JeznW_7DlB0,Tech With Tim,3.1M views,53:06,https://www.youtube.com/watch?v=JeznW_7DlB0
51,3 EASY Python Project Ideas!! #python #programming #coding,ZqS_lnqSgeY,b001,843K views,0:51,https://www.youtube.com/watch?v=ZqS_lnqSgeY
52,Python Tutorial for Absolute Beginners #1 - What Are Variables?,Z1Yd7upQsXY,CS Dojo,8.8M views,24:38,https://www.youtube.com/watch?v=Z1Yd7upQsXY
53,What is Python? Why Python is So Popular?,Y8Tko2YC5hA,Programming with Mosh,1.8M views,4:07,https://www.youtube.com/watch?v=Y8Tko2YC5hA
54,Python for Beginners - Learn Python in 1 Hour,kqtD5dpn9C8,Programming with Mosh,15M views,1:00:06,https://www.youtube.com/watch?v=kqtD5dpn9C8
55,👩‍💻 Python for Beginners Tutorial,b093aqAZiPU,Kevin Stratvert,2.6M views,1:03:21,https://www.youtube.com/watch?v=b093aqAZiPU
56,Python Tutorial - Python Full Course for Beginners,_uQrJ0TkZlc,Programming with Mosh,37M views,6:14:07,https://www.youtube.com/watch?v=_uQrJ0TkZlc
57,Learn Python - Full Course for Beginners [Tutorial],rfscVS0vtbw,freeCodeCamp.org,43M views,4:26:52,https://www.youtube.com/watch?v=rfscVS0vtbw
58,Python 101: Learn the 5 Must-Know Concepts,mMv6OSuitWw,Tech With Tim,890K views,20:00,https://www.youtube.com/watch?v=mMv6OSuitWw
59,Learn PYTHON in 5 MINUTES,I2wURDqiXdM,howCode,915K views,6:41,https://www.youtube.com/watch?v=I2wURDqiXdM
60,Python Functions | Python Tutorial for Absolute Beginners #1,u-OmVr_fT4s,Programming with Mosh,839K views,30:34,https://www.youtube.com/watch?v=u-OmVr_fT4s
61,Python Tutorial for Beginners - Learn Python in 5 Hours [FULL COURSE],t8pPdKYpowI,TechWorld with Nana,5.3M views,5:31:30,https://www.youtube.com/watch?v=t8pPdKYpowI
62,Python Tutorial #9 Tuple in Python,FLFUyG1SRsk,decode,1 view,6:47,https://www.youtube.com/watch?v=FLFUyG1SRsk
63,you need to learn Python RIGHT NOW!! // EP 1,mRMmlo_Uqcs,NetworkChuck,2.1M views,17:42,https://www.youtube.com/watch?v=mRMmlo_Uqcs
64,Python in 100 Seconds,x7X9w_GIm1s,Fireship,2.3M views,2:24,https://www.youtube.com/watch?v=x7X9w_GIm1s
65,Python Full Course for free 🐍,XKHEtdqhLK8,Bro Code,15M views,12:00:00,https://www.youtube.com/watch?v=XKHEtdqhLK8
66,Python Basics | Python Tutorial For Beginners | Learn Python Programming from Scratch | Edureka,woVJ4N5nl_s,edureka!,1.2M views,1:31:31,https://www.youtube.com/watch?v=woVJ4N5nl_s
67,Python Tutorial for Beginners (Full Course) at @shradhaKD  | Republic Day Gift,KrBnRcpWGEI,Apna College,146K views,1:20,https://www.youtube.com/watch?v=KrBnRcpWGEI
68,Learn Python in Less than 10 Minutes for Beginners (Fast & Easy),fWjsdhR3z3c,Indently,22K views,10:30,https://www.youtube.com/watch?v=fWjsdhR3z3c
69,Harvard CS50’s Introduction to Programming with Python – Full University Course,nLRL_NcnK-4,freeCodeCamp.org,3.5M views,15:57:48,https://www.youtube.com/watch?v=nLRL_NcnK-4
70,Python Tutorial for Absolute Beginners #1 - What Are Variables?,Z1Yd7upQsXY,CS Dojo,8.8M views,24:38,https://www.youtube.com/watch?v=Z1Yd7upQsXY
71,PYTHON BASICS (What I Would Learn First),bIjJVKmAz98,Internet Made Coder,121K views,24:50,https://www.youtube.com/watch?v=bIjJVKmAz98
72,Python As Fast as Possible - Learn Python in ~75 Minutes,VchuKL44s6E,Tech With Tim,1.6M views,1:19:41,https://www.youtube.com/watch?v=VchuKL44s6E
73,Python for Beginners – Full Course [Programming Tutorial],eWRfhZUzrAc,freeCodeCamp.org,2M views,4:40:00,https://www.youtube.com/watch?v=eWRfhZUzrAc
74,#1 Python Tutorial for Beginners | Introduction to Python,hEgO047GxaQ,Telusko,4.9M views,4:13,https://www.youtube.com/watch?v=hEgO047GxaQ
75,Intermediate Python Programming Course,HGOBQPFzWKo,freeCodeCamp.org,3.4M views,5:55:47,https://www.youtube.com/watch?v=HGOBQPFzWKo
76,Python Advance Programming 2022 | Advanced Python | Advanced Python Tutorial | Simplilearn,Yrtm7d3TJbs,Simplilearn,311K views,2:27:01,https://www.youtube.com/watch?v=Yrtm7d3TJbs
77,Magic Methods & Dunder - Advanced Python Tutorial #1,KSiRzuSx120,NeuralNine,216K views,11:43,https://www.youtube.com/watch?v=KSiRzuSx120
78,9 HOURS of Python Projects - From Beginner to Advanced,NpmFbWO6HPU,Tech With Tim,225K views,9:20:00,https://www.youtube.com/watch?v=NpmFbWO6HPU
79,Harvard CS50’s Introduction to Programming with Python – Full University Course,nLRL_NcnK-4,freeCodeCamp.org,3.5M views,15:57:48,https://www.youtube.com/watch?v=nLRL_NcnK-4
80,Python Tutorial - Python Full Course for Beginners,_uQrJ0TkZlc,Programming with Mosh,37M views,6:14:07,https://www.youtube.com/watch?v=_uQrJ0TkZlc
81,James Powell: So you want to be a Python expert? | PyData Seattle 2017,cKPlPJyQrt4,PyData,468K views,1:54:11,https://www.youtube.com/watch?v=cKPlPJyQrt4
82,Decorators - Advanced Python Tutorial #2,iZZtEJjQLjQ,NeuralNine,76K views,17:51,https://www.youtube.com/watch?v=iZZtEJjQLjQ
83,Explore the Code Universe: Elevate Your Skills from Fundamental to Advanced Mastery! | BYITC,6ubXTtEPl6Y,British Youth International College,338 views,0:41,https://www.youtube.com/watch?v=6ubXTtEPl6Y
84,Python Full Course for free 🐍,XKHEtdqhLK8,Bro Code,15M views,12:00:00,https://www.youtube.com/watch?v=XKHEtdqhLK8
85,🔥Python Advance Programming 2023 | Advanced Python | Advanced Python Tutorial | Simplilearn,ndn_hKC7Nxo,Simplilearn,3.8K views,28:11,https://www.youtube.com/watch?v=ndn_hKC7Nxo
